Pariticipant,Topic,Goal,Stage.of.Analysis,Mention,Decision,Strategy,Reason,Impact,Threat.to.Validity,Need
4,Active learning in STEM eductation,Advocate for change in curriculum ,Data collection,Firsthand,Ask for raw data to check inferences from small number of studies,Reduce,Statistical power,Direct,Misreported and unreported information,
4,Active learning in STEM eductation,Advocate for change in curriculum ,Meta-analysis,Firsthand,Use separate models for overall effect vs effects of grouping,Reduce,Research questions,Direct,,
4,Active learning in STEM eductation,Advocate for change in curriculum ,Data collection,Firsthand,Use derived measures to compare studies with different operational definitions,Reduce,Consistency,Direct,Different operational definitions in the literature,
4,Active learning in STEM eductation,Advocate for change in curriculum ,Data collection,Firsthand,Address publication bias by reaching out to researchers for their data,Reduce,Limited availability of information,Direct,Small number of published studies,
4,Active learning in STEM eductation,Advocate for change in curriculum ,Data collection,Firsthand,Use team coding to promote reproducibility,Acknowledge,Reproducibility,Indirect,Individual researchers make biased judgments,
4,Active learning in STEM eductation,Advocate for change in curriculum ,Defining questions and objectives,Firsthand,Choose what variables to code,Suppress,Domain knowledge,Direct,Interests and perspective of researchers determine what is important,Identify potential sources of bias
4,Active learning in STEM eductation,Advocate for change in curriculum ,Data collection,Firsthand,Make subjective categorical judgments to code intensity of active learning,Suppress,Comprehensiveness,Direct,Guesswork,Identify potential sources of bias
4,Active learning in STEM eductation,Advocate for change in curriculum ,Defining questions and objectives,Firsthand,"Identify research questions, hypotheses, and variables of interest by consensus before the review",Acknowledge,Domain knowledge,Direct,,
4,Active learning in STEM eductation,Advocate for change in curriculum ,Data collection,Firsthand,Have multiple coders check data quality,Acknowledge,Reproducibility,Indirect,,
4,Active learning in STEM eductation,Advocate for change in curriculum ,Quantitative Analysis,Hypothetical,Visualize data to check data quality,Acknowledge,Caution,Indirect,Clerical errors (in papers or coding),
4,Active learning in STEM eductation,Advocate for change in curriculum ,Communication,Hypothetical,Share data and code for reproducibility,Acknowledge,Reproducibility,Indirect,,
4,Active learning in STEM eductation,Advocate for change in curriculum ,Literature review,Firsthand,Exclude studies from review based on scoping of research,Reduce,Research questions,Direct,,
4,Active learning in STEM eductation,Advocate for change in curriculum ,Literature review,Firsthand,Exclude studies from review based on quality of papers,Reduce,Caution,Direct,Studies with poor control for confounds,
4,Active learning in STEM eductation,Advocate for change in curriculum ,Data collection,Firsthand,Include only studies with certain measures in meta-analysis,Reduce,Research questions,Direct,,
4,Active learning in STEM eductation,Advocate for change in curriculum ,Data collection,Firsthand,Exclude qualitative measures because they require subjective judgments,Suppress,Research questions,Direct,Subjective judgments resist replication,
4,Active learning in STEM eductation,Advocate for change in curriculum ,Data collection,Firsthand,Document concerns about data quality during coding,Acknowledge,Reproducibility,Indirect,,Codebook should allow flags and annotations to express concerns and qualifications about data
4,Active learning in STEM eductation,Advocate for change in curriculum ,Data collection,Firsthand,Discuss coding with collaborators to calibrate confidence,Acknowledge,Confidence through consensus,Indirect,,
4,Active learning in STEM eductation,Advocate for change in curriculum ,Data collection,Hypothetical,Code measures used in studies to track risk of bias,Acknowledge,Comprehensiveness,Indirect,,
4,Active learning in STEM eductation,Advocate for change in curriculum ,Meta-analysis,Hypothetical,Include different types of measures as a covariate in meta-analysis to check robustness of overall effect size,Reduce,Comprehensiveness,Direct,,
4,Active learning in STEM eductation,Advocate for change in curriculum ,Quantitative Analysis,Hypothetical,Use intra-class correlation to test whether a factor should be a fixed or random effect in model selection,Suppress,Lack of knowledge,Direct,Unawareness of how to select appropriate statistical model,
4,Active learning in STEM eductation,Advocate for change in curriculum ,Meta-analysis,Firsthand,"Build a series of univariate models, one for each grouping of effects rather than using grouping factors as a covariates, to see overall patterns in forest plot",Suppress,Lack of knowledge,Direct,Discomfort with multilevel models limits options for model specification,
4,Active learning in STEM eductation,Advocate for change in curriculum ,Meta-analysis,Hypothetical,Use funnel plots or trim and fill plots to check for publication bias,Acknowledge,Standard practice,Indirect,Learning on the fly how and why to use different visualizations,
4,Active learning in STEM eductation,Advocate for change in curriculum ,Meta-analysis,Firsthand,Use forest plots for outlier detection,Acknowledge,Caution,Indirect,,
4,Active learning in STEM eductation,Advocate for change in curriculum ,Communication,Firsthand,Use forest plots to communicate findings,Reduce,Ease of understanding,Direct,,
4,Active learning in STEM eductation,Advocate for change in curriculum ,Communication,Firsthand,Place multiple univariate models (one for each group) in one forest plot,Reduce,Preference,Indirect,Unclear link between forest plot and underlying model,
4,Active learning in STEM eductation,Advocate for change in curriculum ,Communication,Firsthand,Don't share details of the analysis process when giving talk to stakeholders,Suppress,Limited time and attention,Indirect,Trust in analysts may be misplaced,
4,Active learning in STEM eductation,Advocate for change in curriculum ,Communication,Hypothetical,Convey an appropriate level of confidence in findings,Acknowledge,Ease of understanding,Indirect,Overstating uncertain findings,
4,Active learning in STEM eductation,Advocate for change in curriculum ,Communication,Hypothetical,Distinguish issues of data quality from uncertainty in data analysis,Acknowledge,Conceptual clarity,Indirect,Multiple meanings of ‘uncertainty’ pose a communication challenge,
10,Behavioral and pharmacological treatments for PTST and SUD,Advocate for change in treatment,Communication,Firsthand,Write separate systematic reviews for separate approaches to treatment,Acknowledge,Conceptual clarity,Direct,,
10,Behavioral and pharmacological treatments for PTST and SUD,Advocate for change in treatment,Defining questions and objectives,Firsthand,Use meta-analysis to extend a previous systematic review,Reduce,Domain knowledge,Direct,,
10,Behavioral and pharmacological treatments for PTST and SUD,Advocate for change in treatment,Meta-analysis,Firsthand,Don't meta-analyze because sample size is too small to support estimation/inference,Reduce,Statistical power,Direct,,
10,Behavioral and pharmacological treatments for PTST and SUD,Advocate for change in treatment,Meta-analysis,Firsthand,Conduct meta-analysis with small-ish sample because phenomena of interest is hard to measure due to practical issues,Reduce,Limited availability of information,Direct,In practice the best possible treatment may be impossible to deliver,
10,Behavioral and pharmacological treatments for PTST and SUD,Advocate for change in treatment,Meta-analysis,Firsthand,Account for differences of control groups in meta-analysis,Acknowledge,Comprehensiveness,Direct,Poor quality and inconsistent control conditions in literature,
10,Behavioral and pharmacological treatments for PTST and SUD,Advocate for change in treatment,Data collection,Firsthand,Sample studies for meta-analysis only from previous systematic review,Reduce,Domain knowledge,Direct,,
10,Behavioral and pharmacological treatments for PTST and SUD,Advocate for change in treatment,Meta-analysis,Firsthand,Divide small-ish heterogeneous sample into smaller subgroups in investigate differences between treatments,Reduce,Research questions,Direct,Small heterogeneous literature,
10,Behavioral and pharmacological treatments for PTST and SUD,Advocate for change in treatment,Data collection,Firsthand,Rate quality of control condition on an ordinal scale to use as a moderator,Reduce,Comprehensiveness,Direct,Unclear link between forest plot and underlying model,
10,Behavioral and pharmacological treatments for PTST and SUD,Advocate for change in treatment,Data collection,Firsthand,Ask for other scientists for data to address publication bias,Reduce,Limited availability of information,Direct,Publication bias,
10,Behavioral and pharmacological treatments for PTST and SUD,Advocate for change in treatment,Communication,Hypothetical,Use systematic review to contextualize meta-analysis,Acknowledge,Conceptual clarity,Direct,,
10,Behavioral and pharmacological treatments for PTST and SUD,Advocate for change in treatment,Communication,Hypothetical,Write systematic review instead of meta-analysis for small or highly heterogeneous literature,Acknowledge,Statistical power,Direct,,
10,Behavioral and pharmacological treatments for PTST and SUD,Advocate for change in treatment,Communication,Firsthand,"Comment on treatments of different duration, but do not meta-analyze",Acknowledge,Domain knowledge,Direct,Aggregated effects of treatments with varying durations don't make sense,
10,Behavioral and pharmacological treatments for PTST and SUD,Advocate for change in treatment,Defining questions and objectives,Firsthand,Confirm with collaborators which analyses will and will not be done,Acknowledge,Confidence through consensus,Indirect,,
10,Behavioral and pharmacological treatments for PTST and SUD,Advocate for change in treatment,Communication,Hypothetical,Use systematic review to inform decisions about treatment that is applied for inconsistent durations without drawing premature conclusions,Acknowledge,Limited availability of information,Direct,Effect size estimates from meta-analysis are oversimplifying,
